match_id,minute,home_team,away_team,home_score,away_score,goal_difference,home_xg_pre,away_xg_pre,home_recent_momentum,away_recent_momentum,momentum_diff,home_red_card,away_red_card,time_remaining,total_goals_so_far,label_next_goal_15min,label_final_outcome,label_total_goals
M0001,0,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,90,0,0,1,1
M0001,5,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,85,0,0,1,1
M0001,10,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,80,0,0,1,1
M0001,15,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,75,0,0,1,1
M0001,20,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,70,0,0,1,1
M0001,25,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,65,0,0,1,1
M0001,30,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,60,0,0,1,1
M0001,35,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,55,0,0,1,1
M0001,40,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,50,0,0,1,1
M0001,45,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,45,0,1,1,1
M0001,50,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,40,0,1,1,1
M0001,55,Man_United,Man_City,0,0,0,0.6925650557620819,1.2646840148698886,0,0,0,0,0,35,0,1,1,1
M0001,60,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,1,0,1,0,0,30,1,0,1,1
M0001,65,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,1,0,1,0,0,25,1,0,1,1
M0001,70,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,1,0,1,0,0,20,1,0,1,1
M0001,75,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,0,0,0,0,0,15,1,0,1,1
M0001,80,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,0,0,0,0,0,10,1,0,1,1
M0001,85,Man_United,Man_City,1,0,1,0.6925650557620819,1.2646840148698886,0,0,0,0,0,5,1,0,1,1
M0002,0,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,90,0,0,0,4
M0002,5,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,85,0,0,0,4
M0002,10,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,80,0,0,0,4
M0002,15,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,75,0,0,0,4
M0002,20,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,70,0,0,0,4
M0002,25,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,65,0,0,0,4
M0002,30,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,60,0,1,0,4
M0002,35,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,55,0,1,0,4
M0002,40,Aston_Villa,Brighton,0,0,0,1.0388475836431226,0.8481412639405206,0,0,0,0,0,50,0,1,0,4
M0002,45,Aston_Villa,Brighton,0,1,-1,1.0388475836431226,0.8481412639405206,0,1,-1,0,0,45,1,1,0,4
M0002,50,Aston_Villa,Brighton,0,1,-1,1.0388475836431226,0.8481412639405206,0,1,-1,0,0,40,1,1,0,4
